Player Name,Player ID,High Arm Angle Pitch,High Arm Angle,High Arm Pitch Count,Low Arm Angle Pitch,Low Arm Angle,Low Arm Pitch Count,Difference in Arm Angles
JOSÉ UREÑA,570632,Changeup,33.03,320,Sinker,30.01,748,3.02
JOAN ADON,672851,Slider,35.7,19,Sinker,32.68,42,3.02
AUSTIN GOMBER,596295,Knuckle Curve,55.2,567,4-Seam Fastball,52.19,1031,3.01
BRENT HEADRICK,687396,Sinker,37.26,18,Split-Finger,34.26,7,3
JOSÉ BERRÍOS,621244,Sinker,40.7,969,Changeup,37.71,465,2.99
ZACH EFLIN,621107,Curveball,29.15,474,Cutter,26.16,721,2.99
MIKE BURROWS,681347,Curveball,51.3,7,Changeup,48.31,18,2.99
DYLAN LEE,669276,4-Seam Fastball,46.36,293,Changeup,43.38,104,2.98
SPENCER HOWARD,675921,Slider,43.73,135,Changeup,40.76,91,2.98
JORDAN LEASURE,673929,Curveball,54.28,64,4-Seam Fastball,51.3,335,2.98
JOHN MCMILLON,669111,4-Seam Fastball,42.44,70,Slider,39.46,109,2.97
LUCAS SIMS,608371,4-Seam Fastball,39.4,278,Sweeper,36.44,382,2.96
JAMES PAXTON,572020,Knuckle Curve,44.51,517,4-Seam Fastball,41.58,928,2.94
JOSÉ BUTTÓ,676130,4-Seam Fastball,35.14,435,Sweeper,32.19,146,2.94
JORGE LÓPEZ,605347,Knuckle Curve,37.93,105,Sinker,34.98,291,2.94
EMMANUEL CLASE,661403,Slider,55.33,226,Cutter,52.4,860,2.93
CONNOR BROGDON,641401,Cutter,35.27,20,4-Seam Fastball,32.34,42,2.93
TOBIAS MYERS,668964,Slider,61.54,476,Changeup,58.63,251,2.91
GRIFFIN JAX,643377,Changeup,46.85,178,Sweeper,43.97,398,2.88
RICHARD LOVELADY,663992,4-Seam Fastball,20.39,103,Slider,17.51,197,2.88
RAISEL IGLESIAS,628452,Slider,35.11,192,Changeup,32.24,285,2.87
EDGARDO HENRIQUEZ,683618,Cutter,51.26,49,4-Seam Fastball,48.38,93,2.87
SHOTA IMANAGA,684007,4-Seam Fastball,40.44,1343,Split-Finger,37.58,793,2.86
PIERCE JOHNSON,572955,Curveball,40.1,663,4-Seam Fastball,37.24,225,2.85
ALEX LANGE,656638,Knuckle Curve,43.87,218,4-Seam Fastball,41.02,43,2.85
NAOYUKI UWASAWA,683822,Split-Finger,51.69,35,Cutter,48.84,7,2.85
SIMEON WOODS RICHARDSON,680573,4-Seam Fastball,46.58,924,Changeup,43.74,442,2.84
CARLOS CARRASCO,471911,4-Seam Fastball,36.93,427,Changeup,34.1,393,2.84
CHRIS MARTIN,455119,4-Seam Fastball,42.44,204,Split-Finger,39.6,86,2.84
DREW SMYLY,592767,Sinker,53.07,485,Knuckle Curve,50.24,493,2.83
TYLER ROGERS,643511,Slider,-62.28,353,Sinker,-65.11,633,2.83
BRAYAN BELLO,678394,Slider,29.54,759,Changeup,26.72,730,2.82
KYLE HENDRICKS,543294,Changeup,43.61,826,4-Seam Fastball,40.8,272,2.81
KYLE LEAHY,681517,4-Seam Fastball,47.2,308,Sweeper,44.39,103,2.81
BLAKE TREINEN,595014,Cutter,32.94,135,Sinker,30.16,316,2.78
LOGAN ALLEN,671106,Sinker,46.01,183,Sweeper,43.24,313,2.77
AMOS WILLINGHAM,686294,4-Seam Fastball,47.15,13,Slider,44.4,3,2.75
RYAN WALKER,676254,Slider,18.61,536,Sinker,15.88,662,2.74
CASEY KELLY,543391,Curveball,53.72,9,Changeup,50.99,16,2.73
NICK LODOLO,666157,Curveball,19.73,509,Sinker,17.02,531,2.71
AUSTIN WARREN,681810,4-Seam Fastball,32.81,35,Sinker,30.1,48,2.71
JOE JACQUES,682175,Slider,11.32,5,Sweeper,8.62,13,2.7
DARIUS VINES,670241,4-Seam Fastball,45.86,97,Changeup,43.18,80,2.69
GAVIN STONE,694813,4-Seam Fastball,48.01,554,Slider,45.34,318,2.67
SHELBY MILLER,571946,Slider,47.76,173,Split-Finger,45.1,160,2.67
MASON MILLER,695243,4-Seam Fastball,35.03,646,Slider,32.38,358,2.66
FRANKIE MONTAS,593423,Cutter,43.76,500,Split-Finger,41.13,488,2.64
TY BLACH,621389,Curveball,22.73,124,Cutter,20.14,155,2.6
NOAH DAVIS,663562,Cutter,32.99,75,Sinker,30.4,148,2.6
JONATHAN HERNÁNDEZ,642546,Slider,27.25,375,Sinker,24.66,285,2.59
CARLOS ESTÉVEZ,608032,Slider,43.75,244,4-Seam Fastball,41.17,532,2.58
RICARDO PINTO,620982,Slider,48.82,24,Sinker,46.23,99,2.58
KEVIN GINKEL,656464,Slider,41.78,455,4-Seam Fastball,39.21,620,2.57
KYLE NICOLAS,693312,Curveball,45.45,218,Slider,42.9,209,2.55
SPENCER TURNBULL,605513,4-Seam Fastball,25.54,321,Sweeper,23,304,2.54
JHONY BRITO,666745,Changeup,55.92,213,4-Seam Fastball,53.39,157,2.54
BRYCE ELDER,693821,Slider,55.8,271,Changeup,53.3,115,2.5
MICHAEL KOPECH,656629,4-Seam Fastball,45.04,1026,Cutter,42.55,153,2.49
JACOB WEBB,657097,Changeup,33.16,259,Sweeper,30.67,271,2.49
ZACH PLESAC,668676,Slider,57.27,56,Changeup,54.78,49,2.49
DENNIS SANTANA,642701,Cutter,33.45,216,Sinker,30.98,146,2.48
RYDER RYAN,656924,4-Seam Fastball,31.77,49,Sinker,29.29,141,2.48
DYLAN COLEMAN,669395,Cutter,37.14,5,4-Seam Fastball,34.66,10,2.48
JEFF CRISWELL,676105,Slider,34.36,142,4-Seam Fastball,31.89,152,2.47
PETER LAMBERT,663567,Slurve,54.31,109,Changeup,51.84,260,2.47
CHAYCE MCDERMOTT,694646,4-Seam Fastball,43.28,34,Slider,40.81,19,2.47
MICHAEL MERCADO,675650,4-Seam Fastball,38.18,123,Cutter,35.72,66,2.46
ALEX SPEAS,666208,Cutter,44.05,6,Slider,41.6,22,2.45
HAYDEN WESNESKI,669713,4-Seam Fastball,50.92,387,Sweeper,48.48,437,2.44
BRAD KELLER,641745,Slider,51,270,4-Seam Fastball,48.56,280,2.44
CHRIS DEVENSKI,606965,Changeup,44.59,253,Cutter,42.18,74,2.41
MANUEL RODRÍGUEZ,655889,4-Seam Fastball,47.77,134,Sinker,45.36,189,2.41
LUKE WEAVER,596133,4-Seam Fastball,47.56,782,Changeup,45.16,446,2.4
MICHAEL KELLY,547184,4-Seam Fastball,37.71,150,Sweeper,35.33,254,2.38
AUSTIN DAVIS,656354,Cutter,25.02,54,Sweeper,22.64,34,2.38
J. T. CHARGOIS,608638,Slider,28.91,228,Sinker,26.55,270,2.36
ELIESER HERNÁNDEZ,622694,4-Seam Fastball,40.85,108,Cutter,38.49,71,2.36
ROBBIE RAY,592662,4-Seam Fastball,47.98,301,Slider,45.62,182,2.35
OSVALDO BIDO,674370,Slider,35.34,223,Changeup,32.99,160,2.35
ZACK LITTELL,641793,Split-Finger,42.13,575,Sinker,39.79,356,2.34
